symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2008-01-04 00:00:00+00:00,180.05,193.0,178.89,191.45,51994000,5.4647469711,5.8577959757,5.4295394927,5.8107515002,1455833455,0.0,1.0
AAPL,2008-01-07 00:00:00+00:00,177.64,183.6,170.23,181.25,74006900,5.3916003996,5.5724939955,5.1666974556,5.5011685005,2072195272,0.0,1.0
AAPL,2008-01-08 00:00:00+00:00,171.25,182.46,170.8,180.14,54422000,5.1976557556,5.5378935426,5.1839976821,5.4674785858,1523817523,0.0,1.0
AAPL,2008-01-09 00:00:00+00:00,179.4,179.5,168.3,171.3,64781500,5.4450186427,5.4480537701,5.1081194959,5.1991733193,1813883813,0.0,1.0
AAPL,2008-01-10 00:00:00+00:00,178.02,181.0,175.41,177.58,52963400,5.4031338839,5.4935806818,5.3239170575,5.3897793231,1482976682,0.0,1.0
AAPL,2008-01-11 00:00:00+00:00,172.69,177.85,170.0,176.0,44010200,5.2413615909,5.3979741672,5.1597166625,5.3418243094,1232286832,0.0,1.0
AAPL,2008-01-14 00:00:00+00:00,178.78,179.42,175.17,177.52,39301800,5.4262008525,5.4456256682,5.3166327516,5.3879582466,1100451500,0.0,1.0
AAPL,2008-01-15 00:00:00+00:00,169.04,179.22,164.66,177.72,83688500,5.130579439,5.4395554133,4.9976408568,5.3940285015,2343280343,0.0,1.0
AAPL,2008-01-16 00:00:00+00:00,159.64,169.01,156.7,165.23,79065900,4.8452774588,5.1296689008,4.7560447118,5.0149410832,2213847413,0.0,1.0
AAPL,2008-01-17 00:00:00+00:00,160.89,165.36,158.42,161.51,62780700,4.8832165519,5.0188867489,4.808248904,4.9020343421,1757861357,0.0,1.0
AAPL,2008-01-18 00:00:00+00:00,161.36,165.75,159.61,161.71,61583700,4.897481651,5.0307237459,4.8443669206,4.908104597,1724345324,0.0,1.0
AAPL,2008-01-22 00:00:00+00:00,155.64,159.98,146.0,148.06,86955500,4.7238723609,4.8555968922,4.4312860749,4.4938097003,2434756434,0.0,1.0
